"imo","MMSI","ais.type","call.Sign","flag","gross.tonnage","deadweight","length","width","image.src","ship.type","name"
"",613289800,"Other","K-14/IS","Cameroon [CM]","","","","","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1250133&size=","Other","LD-CHALLENGER"
"9556301",244790234,"Cargo","PCUG","Netherlands [NL]","2984","4450","89","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2237719&size=","General Cargo","CLAIRE"
"9529243",245890000,"Cargo","PBCC","Netherlands [NL]","5568","8326","119","05","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2129992&size=","General Cargo","UAL AFRICA"
"9355226",432669000,"Cargo","7JDY","Japan [JP]","63007","21419","199","94","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=826968&size=","Ro-Ro Cargo","HESTIA LEADER"
"9212395",220554000,"Tanker","OYND2","Denmark [DK]","23842","35834","183","27","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=668137&size=","Oil/Chemical Tanker","TORM TRINITY"
"8906937",636015924,"Tanker","D5DN3","Liberia [LR]","18994","31433","174","7","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=337193&size=","Oil/Chemical Tanker","STOLT MARKLAND"
"9465174",563905000,"Cargo","9V2308","Singapore [SG]","32309","58140","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1664934&size=","Bulk Carrier","CRIMSON QUEEN"
"9144031",636014061,"Cargo","A8KC3","Liberia [LR]","25537","46570","183","30","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1225803&size=","Bulk Carrier","POSTOJNA"
"9147875",304010760,"Cargo","V2QG7","Antigua Barbuda [AG]","5381","6790","107","57","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=107593&size=","General Cargo","LADY DEBORA"
"9178290",564105000,"Cargo","9V2504","Singapore [SG]","26047","30703","195","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=863630&size=","Container Ship","SPIRIT OF CAPE TOWN"
"9419369",636014184,"Tanker","A8SA2","Liberia [LR]","62782","115405","250","44","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1196506&size=","Crude Oil Tanker","AMFITRITI"
"9609914",477274200,"Tanker","VRJM7","Hong Kong [HK]","29411","50471","182","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=802371&size=","Oil/Chemical Tanker","UNIQUE HARMONY"
"9666364",376001000,"Cargo","J8B4779","St Vincent Grenadines","1077","1215","64","14","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1076390&size=","General Cargo","AMT II"
"",224507140,"Pleasure Craft","-","Spain [ES]","","","8","3","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=876769&size=","Pleasure Craft","ELSA"
"9494060",259005000,"Cargo","LAL07","Norway [NO]","32315","58105","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=978814&size=","Bulk Carrier","BONITA"
"7410113",440747000,"Fishing","6MHH","Korea [KR]","809","756","60","3","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1572534&size=","Trawler","AGNES 9"
"9458327",565782000,"Reserved","S6BK5","Singapore [SG]","2442","3085","69","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=673307&size=","Offshore Supply Ship","PACIFIC AMETHYST"
"9583172",355311000,"Cargo","3EVU","Panama [PA]","43022","82177","228","99","http://www.marinetraffic.com/img/no_photo.png","Bulk Carrier","PACIFIC KINDNESS"
"9313644",304785000,"Cargo","V2BS","Antigua Barbuda [AG]","2164","2928","88","58","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=243988&size=","General Cargo","LEINE"
"",203287200,"Pleasure Craft","OEX2120","Austria [AT]","","","20","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=249294&size=","Pleasure Craft","MISS PEZI"
"9281279",353968000,"Cargo - Hazard A (Major)","H3MK","Panama [PA]","54304","68578","294","1","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=799741&size=","Container Ship","MSC LISA"
"1010179",319506000,"Pleasure Craft","ZCYO2","Cayman Is [KY]","1090","217","60","11","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=107358&size=","Yacht","ELANDESS"
"9318515",308653000,"Cargo","C6WP2","Bahamas [BS]","41192","12105","176","31","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1093600&size=","Ro-Ro Cargo","MORNING MENAD"
"9573593",253534000,"Other","LXXZ","Luxembourg [LU]","1733","1435","59","78","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1683066&size=","Multi Purpose Offshore Vessel","BOURBON LIBERTY 251"
"9258997",305798000,"Cargo","V2FU4","Antigua Barbuda [AG]","7576","10300","142","69","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1161394&size=","General Cargo","THORCO CELEBRATION"
"9415636",305781000,"Cargo","V2FS5","Antigua Barbuda [AG]","3199","4409","89","96","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=67979&size=","General Cargo","SUN BIRD"
"9610585",352289000,"Passenger","HP7245","Panama [PA]","112","75","26","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1224985&size=","Crew Boat","SURFER 2609"
"9308950",565274000,"Tanker","9VMH4","Singapore [SG]","61724","109647","244","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=36609&size=","Oil Products Tanker","MAERSK PRODUCER"
"9175377",224032270,"Fishing","EAQQ","Spain [ES]","207","118","27","7","http://www.marinetraffic.com/img/no_photo.png","Fishing Vessel","ALFOSO RIERA SEGUNDO"
"9100102",538002340,"Cargo","V7HZ8","Marshall Is [MH]","38891","73670","225","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=438267&size=","Bulk Carrier","MELCHIOR"
"9502960",235096684,"Cargo - Hazard A (Major)","2GEL2","United Kingdom [GB]","142400","141754","366","48","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1380914&size=","Container Ship","HANJIN GOLD"
"9298636",636013086,"Cargo - Hazard A (Major)","A8KM6","Liberia [LR]","35881","41647","169","27","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=855225&size=","Container Ship","DEMETER"
"9628001",477293200,"Cargo","VRMX7","Hong Kong [HK]","141003","144159","366","47","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1793515&size=","Container Ship","OOCL SINGAPORE"
"9641869",356530000,"Cargo","3EZU3","Panama [PA]","50625","95719","235","38","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1859308&size=","Bulk Carrier","LOWLANDS ENERGY"
"8661616",212279000,"Other","5BYY2","Cyprus [CY]","5871","5974","96","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=202031&size=","Cable Layer","ATALANTI"
"",538090189,"Wing In Grnd","5","Marshall Is [MH]","","","154","48","http://www.marinetraffic.com/img/no_photo.png","Wing In Grnd","BRINDISI  VWL4"
"9126716",305695000,"Cargo","V2FJ6","Antigua Barbuda [AG]","4150","5031","100","62","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=132610&size=","General Cargo","ANNA"
"9502673",249616000,"Tanker","9HVX9","Malta [MT]","2607","3356","92","85","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=255785&size=","Oil/Chemical Tanker","CANSU Y"
"1009546",319018000,"Pleasure Craft","ZCTZ2","Cayman Is [KY]","1939","222","70","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=687846&size=","Yacht","MARTHA ANN"
"9563615",356791000,"Cargo","3FWZ4","Panama [PA]","40896","76549","225","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=635777&size=","Bulk Carrier","HONG HING"
"9039092",304010711,"Cargo","V2FZ","Antigua Barbuda [AG]","2446","3690","87","76","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=241829&size=","General Cargo","NORDSTERN"
"",224147730,"Fishing","EA","Spain [ES]","","","26","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1556102&size=","Fishing","EL GRANDE PRIMERO"
"9015852",529230000,"Tanker","T3SN","Kiribati [KI]","3668","6062","101","52","http://www.marinetraffic.com/img/no_photo.png","Chemical Tanker","CAVALLY"
"8321931",312264000,"Cargo","V3TO6","Belize [BZ]","17814","29531","182","81","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1045873&size=","Bulk Carrier","FEDERAL ADI"
"7314852",224290750,"Other","EACY","Spain [ES]","558","1212","57","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2252766&size=","Motor Hopper","SATO BALEARES"
"9445007",357813000,"Cargo","3EPW6","Panama [PA]","17280","21458","172","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1099629&size=","Container Ship","MARINE BIA"
"9118446",405000096,"Cargo","S2AU","Bangladesh [BD]","26049","45665","185","74","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=902534&size=","Bulk Carrier","JAHAN"
"",211549280,"Pleasure Craft","DG7086","Germany [DE]","","","10","3","http://www.marinetraffic.com/img/no_photo.png","Pleasure Craft","SEEPFERD 3"
"9259276",224152000,"Tanker - Hazard A (Major)","ECFM","Spain [ES]","90835","77213","284","37","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=424931&size=","LNG Tanker","MADRID SPIRIT"
"9272656",563871000,"Cargo","S6DU4","Singapore [SG]","20471","27688","178","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=376215&size=","Bulker","PAC ADARA"
"",306012000,"Fishing","-","Curacao [CW]","","","76","13","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1418247&size=","Fishing","ALBACORA SEIS"
"9433511",305758000,"Cargo","V2FQ6","Antigua Barbuda [AG]","3845","5241","89","15","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=165584&size=","General Cargo","MANDRAGA"
"9494113",240989000,"Cargo","SVAX4","Greece [GR]","43024","82094","228","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=481332&size=","Bulk Carrier","ATLANTA"
"9435105",305161000,"Cargo","V2DB6","Antigua Barbuda [AG]","9618","12763","138","37","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=111054&size=","General Cargo","BBC LOUISIANA"
"9123166",371602000,"Cargo - Hazard A (Major)","3EDK7","Panama [PA]","37518","42966","242","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=731533&size=","Container Ship","MSC ALABAMA"
"9478470",354953000,"Cargo","3EWQ7","Panama [PA]","21483","33145","177","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1238008&size=","General Cargo","IKAN JEBUH"
"9256602",311906000,"Tanker - Hazard A (Major)","C6UG5","Bahamas [BS]","93786","77712","277","43","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=122892&size=","LNG Tanker","LNG PIONEER"
"9594535",477847900,"Cargo","VRJQ2","Hong Kong [HK]","19998","31905","175","27","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=771915&size=","Bulk Carrier","SFL TYNE"
"",224219620,"Pilot Vessel","-","Spain [ES]","","","20","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=557286&size=","Pilot Vessel","PILOT S"
"9189768",247148200,"Cargo","IBEC","Italy [IT]","38835","74356","225","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=857411&size=","Bulk Carrier","MEDI TOKYO"
"8037841",242079100,"Tug","CNA4103","Morocco [MA]","385","","35","81","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=489409&size=","Tug","OUZOUD"
"9231171",247060900,"Tanker - Hazard D (Recognizable)","IBBQ","Italy [IT]","25651","37320","180","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=81164&size=","Oil/Chemical Tanker","ZAGARA"
"9080015",224549000,"Passenger","EAJW","Spain [ES]","8845","2164","139","7","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=75355&size=","Ro-Ro/Passenger Ship","CIUDAD DE MALAGA"
"9483451",636091576,"Cargo","A8PN4","Liberia [LR]","18493","29231","169","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=763799&size=","Bulk Carrier","FRANZISKA BOLTEN"
"",250002565,"Pleasure Craft","EIMI2","Ireland [IE]","","","","","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=2002079&size=","Pleasure Craft","HECUBA"
"",228334600,"Unspecified","FLSG","France [FR]","","","","","http://www.marinetraffic.com/img/no_photo.png","Unspecified","SURFER 2203"
"",351082000,"Passenger","HP3639","Panama [PA]","","","14","4","http://www.marinetraffic.com/img/no_photo.png","Passenger","SURFER 14008"
"",996131602,"OffShore Structure","-","Cameroon [CM]","","","","","http://www.marinetraffic.com/img/no_photo.png","OffShore Structure","BAFT-1"
"",367459990,"Pleasure Craft","WDF5155","USA [US]","","","15","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=586399&size=","Pleasure Craft","GLADIUS"
"8709145",636016488,"Cargo","D5GK6","Liberia [LR]","42247","12730","183","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=701554&size=","Ro-Ro/Passenger Ship","CITY OF TOKYO"
"",503008790,"Unspecified","VJN4556","Australia [AU]","","","13","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1963197&size=","Unspecified","VIVANT"
"9215141",304050982,"Tanker - Hazard D (Recognizable)","V2IA5","Antigua Barbuda [AG]","5278","6211","107","86","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=59879&size=","LNG Tanker","KAPPAGAS"
"9387554",228316600,"Tanker","FNSJ","France [FR]","160991","318000","333","13","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=587236&size=","Crude Oil Tanker","KAOMBO SUL"
"9373668",249078000,"Tanker - Hazard C (Minor)","9HJZ9","Malta [MT]","61248","115949","249","97","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=181575&size=","Crude Oil Tanker","SEAPRINCESS"
"9402926",240959000,"Tanker","SVAV3","Greece [GR]","79890","158267","274","29","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=744862&size=","Oil Products Tanker","MARAN POSEIDON"
"9503794",245154000,"Tug","PHNC","Netherlands [NL]","213","","24","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1117118&size=","Work Vessel","TESSA W"
"9263112",240138000,"Cargo","SXQG","Greece [GR]","30057","52454","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=636500&size=","Bulk Carrier","TIGRIS"
"7928873",616999136,"Unspecified","D7","Comoros [KM]","450","300","47","12","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1128186&size=","Ro-Ro/Passenger Ship","LUANA"
"9288485",356088000,"Cargo","3EAI5","Panama [PA]","30042","52409","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=242154&size=","Bulk Carrier","NEWSEAS JADE"
"9466245",477795300,"Cargo - Hazard D (Recognizable)","VRIR7","Hong Kong [HK]","141823","140637","366","48","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=522094&size=","Container Ship","COSCO GLORY"
"9243241",538001705,"Unspecified","V7DT7","Marshall Is [MH]","25703","33691","208","3","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=976647&size=","Container Ship","WEHR WARNOW"
"8701909",242167000,"Fishing","CNA4858","Morocco [MA]","1236","1382","56","62","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=398960&size=","Trawler","ERIKA"
"9246138",440314000,"Tanker","DSNU5","Korea [KR]","61653","99999","245","42","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=35649&size=","Tanker","PACIFIC DUBAI"
"9633290",371271000,"Cargo","3FSY3","Panama [PA]","17019","28250","169","37","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1061066&size=","Bulk Carrier","KING RICE"
"",225918990,"Passenger","-","Spain [ES]","","","17","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1692702&size=","Passenger","PIRATA DE SALVORA"
"",576177000,"Passenger","YJVT4","Vanuatu [VU]","","","20","6","http://www.marinetraffic.com/img/no_photo.png","Passenger","DELTA ALPHA"
"9295127",210302000,"Cargo","C4BG2","Cyprus [CY]","39041","73902","224","9","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=69453&size=","Bulk Carrier","GRAECIA UNIVERSALIS"
"9527453",564921000,"Other","9V8398","Singapore [SG]","2558","2515","70","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1682055&size=","Multi Purpose Offshore Vessel","MDPL CONQUEROR"
"9110377",356249000,"Cargo - Hazard A (Major)","3EZB4","Panama [PA]","64054","68363","274","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=80245&size=","Container Ship","MSC SAMANTHA"
"9140281",576276000,"Cargo","YJQA4","Vanuatu [VU]","3822","3966","99","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1480539&size=","Reefer","SHIN FUJI"
"",211513610,"Sailing Vessel","DG6476","Germany [DE]","","","13","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=459284&size=","Sailing Vessel","ANNABELL"
"7385461",224431000,"Fishing","EAUN","Spain [ES]","1000","916","56","1","http://www.marinetraffic.com/img/no_photo.png","Trawler","KURTZIO"
"8616142",242141100,"Other","CNA4712","Morocco [MA]","1242","1356","57","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=237685&size=","Trawler","MEYA"
"9303431",248181000,"Cargo","9HA2228","Malta [MT]","20283","32328","173","29","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=667752&size=","General Cargo","CASSIOPEIA STAR"
"9546045",248119000,"Cargo","9HA2183","Malta [MT]","9286","14906","139","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1397340&size=","General Cargo","GAGLIARDA"
"9321718",240546000,"Tanker","SWLF","Greece [GR]","81324","158920","274","2","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=158391&size=","Crude Oil Tanker","CAP PHILIPPE"
"",227708110,"Pleasure Craft","-","France [FR]","","","14","4","http://www.marinetraffic.com/img/no_photo.png","Pleasure Craft","COCO"
"",224167840,"Sailing Vessel","-","Spain [ES]","","","14","4","http://www.marinetraffic.com/img/no_photo.png","Sailing Vessel","BREOAL"
"9409194",235080187,"Cargo","2DMF2","United Kingdom [GB]","73779","85446","300","40","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=550647&size=","Container Ship","CMA CGM LAMARTINE"
"9454448",235096647,"Cargo - Hazard A (Major)","2GEH4","United Kingdom [GB]","175343","186470","396","53","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1231943&size=","Container Ship","CMA CGM VONHUMBOLDT"
"8600014",355243000,"Unspecified","HO4190","Panama [PA]","241","","30","7","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=562100&size=","General Cargo","MERKUR"
"9545039",246474000,"Cargo","PBQA","Netherlands [NL]","2978","3930","89","95","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=556710&size=","General Cargo","ABIS BORDEAUX"
"9161077",256325000,"Tanker - Hazard A (Major)","9HA2845","Malta [MT]","3603","3942","99","16","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=695573&size=","LPG Tanker","EPIC CAPRI"
"9657636",319060600,"Other","ZGDM3","Cayman Is [KY]","5165","4500","97","24","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1660136&size=","Offshore Supply Ship","NS IONA"
"8607658",518659000,"Cargo","E5U2606","Cook Is [CK]","2854","4336","91","15","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=276315&size=","General Cargo","ALSA"
"9017850",228167000,"Fishing","FGRY","France [FR]","1737","1500","78","33","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1531747&size=","Fishing Vessel","VIA MISTRAL"
"9213739",244171000,"Cargo","PBAH","Netherlands [NL]","6130","8727","132","23","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=926220&size=","General Cargo","VARNEBANK"
"",316015879,"Sailing Vessel","ROSEBUD","Canada [CA]","","","14","4","http://www.marinetraffic.com/img/no_photo.png","Sailing Vessel","ROSEBUD"
"9526095",246596000,"Cargo","PCHK","Netherlands [NL]","5425","8284","118","14","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=761558&size=","General Cargo","BEAUFORCE"
"",316014701,"Sailing Vessel","CFN5483","Canada [CA]","","","9","3","http://www.marinetraffic.com/img/no_photo.png","Sailing Vessel","BERUTA"
"9558050",235085467,"Cargo","2EIQ9","United Kingdom [GB]","4151","6805","106","07","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1268335&size=","General Cargo","KIMBERLY C"
"9176644",237828000,"Cargo","SYPZ","Greece [GR]","86600","171101","288","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=181254&size=","Bulk Carrier","ANANGEL ETERNITY"
"9242285",271000673,"Cargo - Hazard A (Major)","TCCA8","Turkey [TR]","14236","17275","154","53","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=148156&size=","Container Ship","AURETTE A"
"9430129",235070715,"Cargo","2BZI7","United Kingdom [GB]","9530","12948","138","21","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=856815&size=","General Cargo","JANET C"
"",224486160,"Sailing Vessel","-","Spain [ES]","","","","","http://www.marinetraffic.com/img/no_photo.png","Sailing Vessel","GOLDEN OYSTER"
"9481520",636091916,"Cargo","A8UN3","Liberia [LR]","28561","39267","225","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=731182&size=","Container Ship","PORTO"
"",994231460,"Cardinal Mark N","-","Azerbaijan [AZ]","","","","","http://www.marinetraffic.com/img/no_photo.png","Cardinal Mark N","U ATONJ5 I-2TG(P"
"8733811",224139820,"Unspecified","EALD","Spain [ES]","138","","29","85","http://www.marinetraffic.com/img/no_photo.png","Fishing Vessel","SANTO NINO"
"",416864000,"Fishing","-","Taiwan [TW]","","","","","http://www.marinetraffic.com/img/no_photo.png","Fishing","YI FU"
"",636092373,"Other","D5BE6","Liberia [LR]","","","100","24","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1369105&size=","Other","LENA"
"",205767910,"Sailing Vessel","OR7679","Belgium [BE]","","","18","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1632419&size=","Sailing Vessel","BOOMERANG"
"8914312",357925000,"Cargo","3EAH4","Panama [PA]","6065","9169","130","86","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1093665&size=","General Cargo","MEHMET AGA"
"9458066",229561000,"Tanker","9HA3407","Malta [MT]","9104","14391","142","89","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=656764&size=","Oil/Chemical Tanker","IMERA"
"9292618",210737000,"Cargo","C4FP2","Cyprus [CY]","41059","75331","225","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=769007&size=","Bulk Carrier","ANASTASIA"
"",705175681,"SAR Aircraft","-","-","","","","","http://www.marinetraffic.com/img/no_photo.png","SAR Aircraft","SAR 705175681"
"9193393",204236000,"Fishing","CUHK8","Portugal [PT]","123","","23","6","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1246691&size=","Fishing Vessel","MEIRELES NOVO"
"9245598",247065500,"Cargo","IBZW","Italy [IT]","37726","12594","176","5","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=54455&size=","Ro-Ro Cargo","GRANDE PORTOGALLO"
"9266140",229381000,"Cargo","9HA3286","Malta [MT]","20212","32385","177","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=212339&size=","Bulk Carrier","FIRST BROTHER"
"9221970",636091105,"Tanker","A8JK2","Liberia [LR]","83723","160183","274","01","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=114322&size=","Oil Products Tanker","HS ALCINA"
"",667009030,"Unspecified","9LH2030","Sierra Leone [SL]","","","28","11","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1555116&size=","Unspecified","ABOU SULTAN"
"9234068",235500000,"Cargo","ZIQE8","United Kingdom [GB]","23235","13274","193","26","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=862489&size=","Ro-Ro Cargo","HURST POINT"
"9251080",249763000,"Cargo","9HZX9","Malta [MT]","19885","32744","177","28","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=568715&size=","Bulk Carrier","CRUX"
"8105492",310648000,"Cargo","ZCEJ5","Bermuda [BM]","44340","74973","243","06","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=326730&size=","Self Discharging Bulk Carrier","NELVANA"
"9278117",636013437,"Cargo - Hazard A (Major)","A8MY7","Liberia [LR]","40030","50814","259","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1139122&size=","Container Ship","DERBY D"
"9314935",477791600,"Reserved","VRCP8","Hong Kong [HK]","28927","39155","222","30","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=96811&size=","Container Ship","POINTE DU DIAMANT"
"",999999051,"Unspecified","???????","-","","","","","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1004778&size=","Unspecified","TUG DIONSYS"
"",203615200,"Sailing Vessel","OEX5463","Austria [AT]","","","11","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1366938&size=","Sailing Vessel","ENYA"
"",211210630,"Unspecified","DRCI","Germany [DE]","","","58","8","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=112367&size=","Unspecified","S75 ZOBEL"
"9207388",351340000,"Cargo","H3AP","Panama [PA]","55926","20581","199","54","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1137459&size=","Ro-Ro Cargo","PALMELA"
"9323053",548755000,"Cargo","DYPI","Philippines [PH]","43151","82014","228","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1409943&size=","Bulk Carrier","BILLION TRADER II"
"9226750",548886000,"Cargo","DUFQ","Philippines [PH]","30256","51536","190","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=181261&size=","Bulk Carrier","V ARCTIC TERN"
"9281920",235008050,"Tanker","MGHL8","United Kingdom [GB]","30095","51318","183","32","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=54841&size=","Oil/Chemical Tanker","ENERGY PIONEER"
"",635000480,"Passenger","FGF2938","Antarctica [AQ]","","","15","4","http://www.marinetraffic.com/img/no_photo.png","Passenger","SURFER 2000"
"9438523",636014557,"Cargo","A8UU7","Liberia [LR]","73675","83200","300","40","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=507360&size=","Container Ship","YM MANDATE"
"9589932",636015776,"Tanker","D5CT4","Liberia [LR]","42341","74711","228","50","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1118236&size=","Oil Products Tanker","NAVE CASSIOPEIA"
"7901590",375423000,"Cargo","J8B3443","St Vincent Grenadines","40486","89663","248","62","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1493340&size=","Crane Ship","ZHEN HUA 14"
"5057644",263671350,"Unspecified","CSLL","Portugal [PT]","1033","1333","61","4","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=531501&size=","Dredger","GARRANO"
"9286877",356844000,"Cargo","HPYT","Panama [PA]","48191","62716","228","93","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=1333344&size=","General Cargo","UNIVERSAL GLORIA"
"9365843",538090373,"Cargo - Hazard D (Recognizable)","V7QW6","Marshall Is [MH]","21092","26900","182","98","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=377904&size=","Container Ship","IBRAHIM DEDE"
"9403102",249663000,"Cargo","9HXA9","Malta [MT]","32379","58792","189","99","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=969079&size=","Bulk Carrier","NAVIOS VEGA"
"9166704",564755000,"Cargo","S6HK","Singapore [SG]","44219","12490","179","48","http://photos.marinetraffic.com/ais/showphoto.aspx?photoid=509380&size=","Vehicles Carrier","HOEGH MASAN"
